Rank,Combo,Fitness,Count input,Count selected
1,VWGV,3.90146075608,425,5441
2,VYGV,3.89146109067,905,12409
3,VHGV,3.08116580765,335,3533
4,VFGV,3.05454865106,1802,21922
5,VAGV,2.40124349574,173,1108
6,VSGV,2.16359335977,1312,10148
7,VVGV,1.94766786803,292,1800
8,VCGV,1.83818718188,378,1981
9,VNGV,1.80292279874,1177,8020
10,VIGV,1.79171333093,941,6374
11,LDGV,1.69016355375,937,3230
12,VRGV,1.64547164894,1000,5769
13,IDGV,1.4459050863,405,1460
14,VDGC,1.41393590647,230,1191
15,VDGA,1.37294933339,825,5942
16,MDGV,1.17054988281,547,1136
17,VTGV,1.16546536279,600,2169
18,VKGV,1.13788477532,1100,5292
19,VQGV,1.11389363844,250,856
20,VMGV,1.09352879961,1052,3460
21,VLGV,0.907305261163,2563,6908
22,VGGV,0.864025848061,247,480
23,VEGV,0.86093066353,213,423
24,VDGF,0.820788193905,260,568
25,VDGW,0.699995429038,180,270
26,VDGT,0.615188984875,805,2247
27,VDGM,0.585648853727,240,578
28,VDGS,0.495759851542,896,1602
29,VPGV,0.402165979344,341,370
30,VDGL,0.380472898221,977,1150
31,VDGI,0.377105030763,308,294
32,FDGV,0.377100728425,136,161
33,VDGG,0.265820485664,395,2015
34,TDGV,0.246551701455,66,75
35,CDGV,0.242237277886,850,641
36,VDGN,0.225092059946,286,225
37,VDGH,0.161839956365,447,177
38,VDGQ,0.124301623761,330,108
39,VDAV,0.120576126726,139,93
40,QDGV,0.102672417647,2503,435
41,YDGV,0.0720225131902,917,380
42,VDFV,0.0670220937213,111,57
43,ADGV,0.0619096557142,34,43
44,VDCV,0.0607126195004,69,57
45,VDGE,0.0353071305266,262,25
46,SDGV,0.0343121087361,841,87
47,EDGV,0.0327191845926,841,190
48,VDGD,0.0315419914958,38,22
49,VDGY,0.0285262579339,291,69
50,HDGV,0.0264798489707,452,60
51,KDGV,0.0201606557734,2585,323
52,RDGV,0.0172018642765,5627,570
53,VDVV,0.0159886265123,226,57
54,VDSV,0.0138843009535,190,57
55,VDYV,0.0137144740659,77,5
56,VDMV,0.0131103160049,46,4
57,NDGV,0.0116278958495,512,33
58,WDGV,0.0103969491584,5135,398
59,VDLV,0.00977006063242,96,10
60,PDGV,0.00894644046029,263,7
61,GDGV,0.00829790573568,859,155
62,VDGK,0.007655337403,234,18
63,VDGP,0.00755619465913,812,168
64,VDWV,0.00752123766976,31,0
65,DDGV,0.00647208961971,63,63
66,VDEV,0.00643456626514,53,0
67,VDGR,0.00616756669599,803,32
68,VDDV,0.00595378718971,115,29
69,VDNV,0.0057462076598,104,0
70,VDPV,0.00490471616607,60,0
71,VDRV,0.00435243639048,95,9
72,VDHV,0.0043470085562,22,0
73,VDQV,0.00417937533459,14,0
74,VDTV,0.00410704837872,101,1
75,VDKV,0.00407538712684,31,0
76,VDIV,0.00342405539668,104,0
