partial,score
IIG-,0.9082052707672119
ILG-,0.9075868129730225
VIG-,0.9068909883499146
IVG-,0.9068435430526733
VLG-,0.9035949110984802
VVG-,0.9020176529884338
VFG-,0.8988984227180481
IFG-,0.8969860076904297
VFK-,0.8904813528060913
KFA-,0.8900454640388489
KFG-,0.8891919851303101
IYG-,0.8886626958847046
VYG-,0.8880500793457031
LIG-,0.8876141309738159
IFK-,0.8872432708740234
ILS-,0.8867627382278442
QFK-,0.8855166435241699
IMG-,0.8852676153182983
VMG-,0.8841031789779663
FLG-,0.8836325407028198
VLS-,0.8833287954330444
FVG-,0.8831386566162109
VWG-,0.8828871250152588
FIG-,0.8826324939727783
LLG-,0.8824447393417358
LVG-,0.8823904991149902
IWG-,0.8819855451583862
KFS-,0.8819064497947693
VFA-,0.8816124200820923
ILA-,0.8815672397613525
QFG-,0.880913496017456
ILK-,0.8804291486740112
YLG-,0.8802225589752197
KFV-,0.8801883459091187
YFK-,0.8800445795059204
IYK-,0.879847526550293
VLA-,0.8797007203102112
VLK-,0.8795356154441833
YIG-,0.8791881203651428
VYK-,0.8790396451950073
AFK-,0.8786801099777222
IVS-,0.8784160017967224
QIG-,0.8783291578292847
QFA-,0.8779403567314148
VFS-,0.8777641654014587
SFK-,0.8768330216407776
VIK-,0.876642107963562
AIG-,0.8762646317481995
AFG-,0.8762421607971191
LFG-,0.8762041330337524
IFA-,0.87611985206604
IFS-,0.875986635684967
IVK-,0.8757612705230713
IIS-,0.8754808902740479
VVK-,0.8754445314407349
MFK-,0.8749023675918579
VIS-,0.8746576905250549
FFK-,0.8744823932647705
VVS-,0.8742983341217041
IIK-,0.8742233514785767
KIG-,0.8741912841796875
YVG-,0.8741350769996643
YFG-,0.873936116695404
VWK-,0.8735789656639099
LFK-,0.8735601902008057
KYG-,0.873436450958252
QVG-,0.8733990788459778
QIK-,0.8733072280883789
QLG-,0.873192310333252
KFK-,0.8727242946624756
VIA-,0.8725887537002563
KLG-,0.8724079728126526
IVA-,0.8719872236251831
QFS-,0.8715840578079224
KYA-,0.8715646266937256
WFK-,0.8714620471000671
CLG-,0.8714425563812256
IIA-,0.8712635040283203
KLS-,0.8711028099060059
QLK-,0.8710176348686218
IYS-,0.870877742767334
VCG-,0.870858371257782
CFK-,0.8708533048629761
AIK-,0.8707765340805054
VYA-,0.8706739544868469
VVA-,0.8705984354019165
KLA-,0.8704964518547058
FYK-,0.8703407645225525
FFG-,0.8701955080032349
IAG-,0.870161771774292
RFA-,0.8700528144836426
RFG-,0.8699228167533875
YLK-,0.8698393106460571
YYK-,0.8697429895401001
AFA-,0.8696667551994324
KIA-,0.869662880897522
TFK-,0.8695217370986938
QWK-,0.8694847822189331
QIA-,0.8693808913230896
QYK-,0.8692668080329895
QVK-,0.8687741756439209
MLG-,0.8686132431030273
MFG-,0.8685109615325928
VYS-,0.8684061169624329
KFI-,0.8683757781982422
YIK-,0.8681490421295166
CIG-,0.8681237697601318
IWK-,0.8680015802383423
QYG-,0.867800235748291
CVG-,0.8677884340286255
QLA-,0.867692768573761
GFK-,0.8676732778549194
QVA-,0.867667555809021
AVG-,0.8674371242523193
IYA-,0.8673349022865295
KIS-,0.867325484752655
QLS-,0.8673202395439148
ICG-,0.8671988248825073
VWS-,0.8668585419654846
ALG-,0.8668251037597656
MIG-,0.8665722608566284
TFG-,0.8664811849594116
IWS-,0.8664498329162598
LYG-,0.8664073348045349
KFN-,0.8662333488464355
FLK-,0.8661189675331116
QIS-,0.8660095930099487
LIK-,0.8659268021583557
VMK-,0.8657887578010559
AVK-,0.8656710386276245
KWA-,0.8656604290008545
IMS-,0.8656025528907776
ALK-,0.8655450344085693
KWS-,0.8655041456222534
FYG-,0.8653582334518433
KWG-,0.8653010725975037
LLS-,0.8652397394180298
QVS-,0.8652114868164062
NFK-,0.8650773763656616
CFG-,0.8650577068328857
KFL-,0.8650426864624023
SFA-,0.8648486137390137
LLK-,0.8647176623344421
VMS-,0.8646727800369263
KVG-,0.8646446466445923
KYV-,0.8644455671310425
KFC-,0.8644179105758667
RFK-,0.8640990257263184
FIK-,0.8639920949935913
AIA-,0.8639879822731018
AWK-,0.8639711141586304
SFG-,0.8639593124389648
YLS-,0.8639196753501892
VFN-,0.8636347055435181
YFA-,0.8635690212249756
WFG-,0.8635571002960205
YVK-,0.8633707761764526
MVG-,0.8630871772766113
WLG-,0.8630536794662476
MLK-,0.8629947304725647
KYS-,0.8628402948379517
CYK-,0.8627990484237671
QFV-,0.8627873659133911
TFA-,0.8627444505691528
CFA-,0.8627230525016785
KFQ-,0.8627046346664429
QCK-,0.8625683188438416
FVK-,0.8623940944671631
FMG-,0.8623504638671875
RFS-,0.862268328666687
MYK-,0.8621844053268433
KVA-,0.8620033264160156
IFN-,0.8618197441101074
ILN-,0.8617873787879944
AFS-,0.8617039918899536
LVK-,0.8615732192993164
YYG-,0.8615655899047852
HFA-,0.8614785075187683
LIS-,0.8614763617515564
LYK-,0.8614263534545898
VAG-,0.8613548278808594
FLS-,0.8613240122795105
IMK-,0.861323356628418
SLK-,0.8613227009773254
YWK-,0.861318826675415
LLA-,0.8610615730285645
QYA-,0.8610485196113586
CLK-,0.8608455061912537
SIK-,0.8607844114303589
FAG-,0.8606985807418823
CLA-,0.860593318939209
RFV-,0.8604820966720581
WIG-,0.8604458570480347
ALA-,0.8604045510292053
ACK-,0.8603386878967285
VCK-,0.860327959060669
MFA-,0.8603081703186035
KVS-,0.860245943069458
